name,description,cooking_time,difficulty,protein_g,fat_g,carb_g,calories,tags,image_url
鶏むね塩麹焼き,作り置き可。冷蔵5日間。しっとり柔らか,30,easy,38.0,5.2,1.5,198,"[""high-protein"",""low-fat"",""batchable"",""chicken""]",
鶏むね照り焼き,甘辛タレで食べやすい。冷蔵5日間,35,easy,36.5,6.8,12.3,258,"[""high-protein"",""batchable"",""chicken""]",
鶏むねカレー,スパイス香る。作り置き可,45,medium,32.0,8.5,48.0,396,"[""high-protein"",""high-carb"",""batchable"",""chicken""]",
サラダチキン,コンビニ風。冷蔵7日間,40,easy,35.0,2.1,0.5,161,"[""high-protein"",""low-fat"",""batchable"",""chicken""]",
鶏むね親子丼,卵でボリュームアップ。作りたて推奨,20,easy,40.2,12.5,65.0,532,"[""high-protein"",""high-carb"",""chicken"",""egg""]",
鶏むねピカタ,卵衣でふっくら。冷蔵3日間,25,medium,38.5,11.2,4.8,272,"[""high-protein"",""batchable"",""chicken"",""egg""]",
鶏むねチャーシュー,ラーメンにも。冷蔵5日間,60,medium,36.0,7.5,8.2,244,"[""high-protein"",""low-fat"",""batchable"",""chicken""]",
鶏むねしょうが焼き,ご飯に合う。作りたて推奨,20,easy,35.8,6.3,10.5,242,"[""high-protein"",""chicken""]",
鶏むねねぎ塩,さっぱり。冷蔵4日間,25,easy,36.5,5.8,2.3,204,"[""high-protein"",""low-fat"",""batchable"",""chicken""]",
鶏むねトマト煮込み,イタリアン。冷蔵5日間,40,medium,34.0,7.2,15.8,270,"[""high-protein"",""batchable"",""chicken""]",
鶏むね大葉巻き,爽やか風味。冷蔵3日間,30,medium,37.0,5.5,1.8,198,"[""high-protein"",""low-fat"",""batchable"",""chicken""]",
鶏むね梅肉和え,さっぱり。作りたて推奨,15,easy,35.2,4.8,2.5,192,"[""high-protein"",""low-fat"",""quick"",""chicken""]",
鶏むねマヨポン,子供も好きな味。冷蔵3日間,20,easy,36.0,10.5,3.2,248,"[""high-protein"",""batchable"",""chicken""]",
鶏むねガーリック炒め,スタミナ系。作りたて推奨,15,easy,37.5,8.2,4.0,242,"[""high-protein"",""quick"",""chicken""]",
鶏むね棒々鶏,ゴマダレ濃厚。冷蔵4日間,35,medium,34.5,14.2,8.5,302,"[""high-protein"",""batchable"",""chicken"",""chinese""]",
ゆで卵,作り置きの定番。冷蔵5日間,12,easy,12.9,10.3,0.3,151,"[""high-protein"",""batchable"",""quick"",""egg""]",
卵焼き,お弁当に。冷蔵3日間,10,easy,18.5,15.2,2.8,232,"[""high-protein"",""batchable"",""quick"",""egg""]",
スクランブルエッグ,朝食に。作りたて推奨,5,easy,16.8,13.5,1.2,198,"[""high-protein"",""quick"",""egg""]",
オムレツ,野菜入り。作りたて推奨,10,medium,19.2,16.8,5.5,262,"[""high-protein"",""quick"",""egg""]",
目玉焼き,シンプル。作りたて推奨,3,easy,12.5,10.5,0.6,143,"[""high-protein"",""quick"",""egg""]",
卵スープ,体温まる。作りたて推奨,8,easy,8.5,5.2,3.2,92,"[""high-protein"",""quick"",""egg""]",
茹で卵サラダ,マヨネーズ和え。冷蔵2日間,15,easy,14.2,18.5,3.8,242,"[""high-protein"",""batchable"",""egg""]",
厚焼き玉子,甘め。冷蔵3日間,15,medium,20.5,12.8,8.5,238,"[""high-protein"",""batchable"",""egg""]",
鮭塩焼き,和食の定番。作りたて推奨,15,easy,28.5,10.2,0.2,210,"[""high-protein"",""low-carb"",""quick"",""fish""]",
サバ味噌煮,缶詰風。冷蔵4日間,30,medium,26.8,15.5,12.8,302,"[""high-protein"",""batchable"",""fish""]",
ツナサラダ,ノンオイル使用。作りたて推奨,5,easy,22.0,1.5,3.5,115,"[""high-protein"",""low-fat"",""quick"",""fish""]",
鮭ホイル焼き,野菜も一緒に。作りたて推奨,25,easy,27.0,9.5,8.2,228,"[""high-protein"",""low-carb"",""fish""]",
白身魚ムニエル,バター風味。作りたて推奨,20,medium,24.5,12.8,5.2,242,"[""high-protein"",""fish""]",
サバ塩焼き,シンプル。作りたて推奨,15,easy,25.2,14.5,0.1,242,"[""high-protein"",""low-carb"",""quick"",""fish""]",
鮭フレーク,ご飯のお供。冷蔵7日間,20,easy,18.5,5.2,0.5,118,"[""high-protein"",""low-fat"",""batchable"",""fish""]",
イワシ生姜煮,骨まで柔らか。冷蔵5日間,40,medium,22.0,10.5,8.5,218,"[""high-protein"",""batchable"",""fish""]",
豆腐ステーキ,カロリー控えめ。作りたて推奨,15,easy,12.5,8.2,4.5,142,"[""high-protein"",""low-calorie"",""quick"",""tofu""]",
麻婆豆腐,ピリ辛。冷蔵3日間,25,medium,18.5,12.8,15.2,258,"[""high-protein"",""batchable"",""tofu"",""chinese""]",
湯豆腐,体温まる。作りたて推奨,10,easy,10.2,5.5,2.8,98,"[""high-protein"",""low-calorie"",""quick"",""tofu""]",
納豆豆腐丼,手軽。作りたて推奨,3,easy,18.5,8.5,52.0,358,"[""high-protein"",""high-carb"",""quick"",""tofu""]",
豆腐ハンバーグ,ヘルシー。冷蔵3日間,30,medium,20.5,10.2,12.5,228,"[""high-protein"",""batchable"",""tofu""]",
白米,エネルギー源。冷凍可,50,easy,5.0,0.6,74.0,320,"[""high-carb"",""rice"",""batchable"",""freezable""]",
玄米,食物繊維豊富。冷凍可,60,easy,5.5,2.1,69.0,318,"[""high-carb"",""rice"",""batchable"",""freezable""]",
オートミール,手軽。作りたて推奨,5,easy,6.8,3.5,41.0,228,"[""high-carb"",""quick""]",
パスタ茹で,アレンジ自在。冷蔵3日間,12,easy,7.5,1.2,56.0,268,"[""high-carb"",""batchable""]",
そば茹で,ヘルシー。作りたて推奨,8,easy,8.2,1.5,48.0,242,"[""high-carb"",""quick""]",
さつまいも蒸し,自然な甘さ。冷蔵5日間,25,easy,1.8,0.2,42.0,178,"[""high-carb"",""batchable""]",
じゃがいも茹で,マッシュ可。冷蔵3日間,20,easy,2.5,0.1,28.0,122,"[""high-carb"",""batchable""]",
鶏肉スープ,たんぱく質も摂れる。冷蔵3日間,40,medium,12.5,3.2,8.5,112,"[""high-protein"",""batchable"",""chicken""]",
卵スープ中華風,ふわふわ。作りたて推奨,8,easy,8.5,5.2,3.2,92,"[""high-protein"",""quick"",""egg"",""chinese""]",
味噌汁,発酵食品。作りたて推奨,10,easy,4.5,2.1,8.5,68,"[""quick""]",
ミネストローネ,野菜たっぷり。冷蔵5日間,35,medium,5.5,3.8,18.5,128,"[""batchable"",""western""]",
豚汁,具沢山。冷蔵3日間,30,medium,12.5,8.5,15.2,188,"[""high-protein"",""batchable""]",
鶏むねガパオ,エスニック。作りたて推奨,20,medium,35.0,10.5,48.0,432,"[""high-protein"",""high-carb"",""chicken""]",
鶏むね南蛮,タルタルソース。冷蔵3日間,35,medium,38.5,16.2,18.5,382,"[""high-protein"",""batchable"",""chicken""]",
ささみフライ,サクサク。冷蔵2日間,25,medium,32.0,12.5,22.0,328,"[""high-protein"",""batchable"",""chicken""]",
